split,phase,layer,states,top_alignment,top_minus_random,top_minus_bottom,top_minus_wrong_prompt,causal_margin
exploration,early,0,20,0.3484469095839124,0.21263418896120595,0.3162795067413667,-9.438257024637354e-05,-0.018125374465131544
exploration,early,1,20,0.3521193589917502,0.21630663836904374,0.33863775541859154,-0.005021589099817056,-0.023245866071698776
exploration,early,2,20,0.2570011827058182,0.12118846208311171,0.16798073702554844,-0.006682514755966218,-0.04439043875730472
exploration,early,3,20,0.3045977248588542,0.16878500423614776,0.19213836414475827,0.00581055251998829,-0.0200884628468909
exploration,early,4,20,0.316175000942005,0.18036228031929852,0.20673907852079143,0.0176416455961082,-0.013398952261500004
exploration,early,5,20,0.2976025888808638,0.16178986825815733,0.13212433532606513,0.0005845036798422076,-0.04252243837633898
exploration,early,6,20,0.351208422986018,0.21539570236331151,0.2616947601958019,-0.002239046765047656,-0.023838033255721605
exploration,early,7,20,0.3393376942578198,0.2035249736351133,0.24347614513947763,0.03500928405349844,-0.0007773971567284598
exploration,early,8,20,0.3589424577227417,0.22312973710003528,0.3173706872137319,-0.026681180496845047,-0.030243858802354206
exploration,early,9,20,0.3511605544446734,0.2153478338219669,0.2893240646941105,0.010977645737030542,-0.00805819017230197
exploration,early,10,20,0.3728568975861032,0.23704417696339672,0.30742698488182313,0.03585708512574788,0.025790441518360067
exploration,early,11,20,0.35481177801817976,0.21899905739547326,0.28798257741028377,0.008422097439297643,0.001815100601258554
exploration,early,12,20,0.3479759952365072,0.21216327461380075,0.3045827529455569,0.022171230283389222,0.015854750923875095
exploration,early,13,20,0.328708478854867,0.19289575823216054,0.284720187026919,0.03076462562576084,0.011679359718216547
exploration,early,14,20,0.35802556629466264,0.22221284567195615,0.3277094611874047,0.07934906853721821,0.05059723733010364
exploration,early,15,20,0.3067704633568293,0.17095774273412276,0.20489295890374443,0.006027399646547358,-0.015013361485660065
exploration,early,16,20,0.2724696266267976,0.13665690600409108,0.22610772624575545,-0.00788923272591035,-0.02519733031765271
exploration,early,17,20,0.27069029887486207,0.13487757825215563,0.21136977292878453,0.035693149839948125,-0.0016168339356233865
exploration,early,18,20,0.2758955161970729,0.1400827955743664,0.20369763870662236,-0.00657912429956731,-0.02273334260275535
exploration,early,19,20,0.2820068802794157,0.14619415965670915,0.22320484353591036,0.002819268811628503,-0.016148936848078128
exploration,early,20,20,0.26234918437415333,0.12653646375144684,0.17714906200019362,0.005628862796958659,-0.02410452321045522
exploration,early,21,20,0.2819046365809488,0.14609191595824225,0.23078697156696673,0.022238373325133017,0.00291391747665868
exploration,early,22,20,0.27455103090206423,0.13873831027935773,0.21554513988365387,0.00336500875772831,-0.014721426114077596
exploration,early,23,20,0.27235025398790486,0.1365375333651983,0.20819555308668763,0.01644470964320993,-0.009766675712935982
exploration,early,24,20,0.30021357116232716,0.16440085053962067,0.21494747653852878,-0.0018240337868003526,-0.036959241819136214
exploration,early,25,20,0.2843690563230969,0.14855633570039042,0.2052678061595945,0.014052330354179715,-0.013965784585352215
exploration,early,26,20,0.29733700143661224,0.16152428081390582,0.2666580930427152,0.006109401180676104,-0.01872892580391325
exploration,early,27,20,0.2915080852724,0.15569536464969347,0.25345758502739135,0.012487492373581693,-0.004796955082791675
exploration,early,28,20,0.2875823972336834,0.1517696766109769,0.2321773821004831,-0.001822120652223025,-0.030791405934819726
exploration,early,29,20,0.27999777403280407,0.14418505341009763,0.21665838935817558,-0.0007561802789203181,-0.03223429898509302
exploration,early,30,20,0.2693224933342403,0.13350977271153383,0.22641812979766024,0.003681400671998884,-0.016518223551575433
exploration,early,31,20,0.2612051399190356,0.12539241929632913,0.21473936105498187,0.010483486051920787,-0.016244696453127202
exploration,middle,0,20,0.24573422819503032,0.1418344515882005,0.18414346867013517,-0.0005520829128787073,-0.04118317045403681
exploration,middle,1,20,0.26218072140081883,0.15828094479398908,0.17544372681082393,0.014745607502214935,-0.055917411403296424
exploration,middle,2,20,0.2390504296145533,0.1351506530077235,0.1955707087141981,0.004531189676823634,-0.032565491557173795
exploration,middle,3,20,0.22414395062594114,0.12024417401911139,0.19097637120319041,0.000647708017751425,-0.0586808228381685
exploration,middle,4,20,0.25769323003893063,0.15379345343210088,0.23042068587419745,0.030558714186833154,-0.026716814087905917
exploration,middle,5,20,0.26780600137123967,0.1639062247644099,0.19520425615317785,0.020957185477253407,-0.040441418778962596
exploration,middle,6,20,0.27697770851991155,0.17307793191308177,0.23417799342103013,0.004284393321799443,-0.022343311030300773
exploration,middle,7,20,0.2973984221640643,0.1934986455572345,0.18700747541300272,0.02042574999985784,-0.02204402601357151
exploration,middle,8,20,0.288416284923834,0.18451650831700428,0.2765392449071006,-0.005464748544738421,-0.04026100250821884
exploration,middle,9,20,0.2961874806554408,0.192287704048611,0.24405850898756892,0.008974498148859856,-0.008914384712043954
exploration,middle,10,20,0.2878097825119399,0.18391000590511014,0.2733476913611478,-0.03296324945934821,-0.06085866547395637
exploration,middle,11,20,0.33234281527837795,0.22844303867154814,0.34043626831299784,0.023771218124915214,-0.00013647120825276693
exploration,middle,12,20,0.305912447342386,0.2020126707355562,0.276435917828861,0.0077689315787628525,-0.02364650384188955
exploration,middle,13,20,0.31492375556964725,0.2110239789628175,0.32697921520255924,0.026729585906708653,0.00013995694157427214
exploration,middle,14,20,0.302758759776053,0.1988589831692232,0.28846130840186646,0.06728817967918208,0.007159863010974836
exploration,middle,15,20,0.2922492247561837,0.1883494481493539,0.2987547223074649,0.0019631748875763968,-0.01111294524477091
exploration,middle,16,20,0.29921405894299075,0.195314282336161,0.28749259229238266,-0.009359149358921636,-0.03390065506765405
exploration,middle,17,20,0.29792278216642193,0.1940230055595921,0.2750120693823597,0.011470659664945626,-0.01047412038683539
exploration,middle,18,20,0.2729205032594887,0.16902072665265888,0.2615449671481949,-0.009701103113349926,-0.04264070003785876
exploration,middle,19,20,0.23612332763663724,0.13222355102980743,0.16204813905420484,-0.009202888165650425,-0.05650011058702885
exploration,middle,20,20,0.21564979477249108,0.1117500181656613,0.19238370715296343,-0.003710124345079541,-0.05812935871943294
exploration,middle,21,20,0.21756992718987855,0.11367015058304879,0.18438967937796638,-0.021009396271937385,-0.06458772231629138
exploration,middle,22,20,0.1906116419486229,0.08671186534179313,0.13257665113333716,-0.01222557767723603,-0.06541999315833416
exploration,middle,23,20,0.22714990799089754,0.12325013138406779,0.20181050310176568,-0.01632547597573092,-0.048120034607611585
exploration,middle,24,20,0.23082283631505573,0.12692305970822598,0.22608251962302717,0.002995614946227576,-0.03997201696516659
exploration,middle,25,20,0.2135300243235942,0.10963024771676437,0.20712451376373814,-0.0006156829059121613,-0.0534777726908934
exploration,middle,26,20,0.20772579832100552,0.10382602171417572,0.12352030287384,-0.016332136048547684,-0.06582299470077367
exploration,middle,27,20,0.2239419116861386,0.12004213507930883,0.2482083927045471,0.024077039635425783,-0.01852258875705249
exploration,middle,28,20,0.2220602653702059,0.11816048876337615,0.2170415090650099,0.0016757340621337325,-0.03880466705227072
exploration,middle,29,20,0.2291958901579078,0.125296113551078,0.25644607272354103,0.010569366207836987,-0.030211102957234826
exploration,middle,30,20,0.20224500454957348,0.09834522794274372,0.13776562555510657,-0.005657257068847732,-0.05166768219432301
exploration,middle,31,20,0.1934548697388256,0.08955509313199583,0.16537642327530863,-0.012041353748088127,-0.07169550144376526
exploration,late,0,20,0.34069150028186546,0.39102217749493096,0.3554983121668156,0.009533130683004291,-0.0299246210205333
exploration,late,1,20,0.34333002249323746,0.39366069970630296,0.35693017496849766,0.0006909008303991653,-0.05167972359836013
