split,task,layer,episodes,top_alignment,top_minus_random,top_minus_bottom,top_minus_wrong_prompt,causal_margin,causal_margin_ci95_low,causal_margin_ci95_high,top_wrong_jaccard,top_wrong_replacement_count
exploration,move_near,0,7,0.37372882644922967,0.3105773725458588,0.29922249949662644,0.021444170787349615,-0.02277252841069526,-0.04301286460416908,-0.006755167317584319,0.9915750915750916,0.09523809523809523
exploration,move_near,1,7,0.37542833939061165,0.3122768854872409,0.40130157979346437,-0.00171726632072945,-0.03475190636139904,-0.0716829239037112,-0.0016278644049745345,0.9723050919253596,0.5238095238095238
exploration,move_near,2,7,0.3280400031748992,0.2648885492715284,0.2504862925351904,0.0032768009300087816,-0.021636083668949875,-0.04618904851004724,0.00291688117214749,0.9271075671763968,1.0
exploration,move_near,3,7,0.35598477513314253,0.2928333212297717,0.26338152986604857,0.012262376899167255,-0.02709963409162127,-0.08567082171180643,0.01296064118715545,0.9610248533804621,0.8095238095238095
exploration,move_near,4,7,0.34062681968099373,0.277475365777623,0.20363485131170117,-0.008009055199821667,-0.03284120614345357,-0.08137402193686431,0.005017031556742444,0.9484726770367796,1.0952380952380953
exploration,move_near,5,7,0.3247439401038089,0.2615924862004381,0.1736304645742158,0.0032307558806989093,-0.04880710780426188,-0.1139520550304131,0.002917707102207755,0.9592318974394715,0.9047619047619048
exploration,move_near,6,7,0.36894913749920294,0.30579768359583215,0.24938237440543193,-0.00025785254364991814,-0.02422726268290936,-0.06472608425451667,0.00951307939628375,0.9182514126402544,1.4761904761904763
exploration,move_near,7,7,0.35953089677342426,0.29637944287005347,0.20773438418338536,-0.002522144449802686,-0.017807298805445133,-0.08279658924654593,0.05289385283979686,0.8912999724029594,2.0
exploration,move_near,8,7,0.34607642641778774,0.2829249725144169,0.22606089435667612,-0.057813693374116175,-0.07231820446038333,-0.11583516246557543,-0.036972518153662766,0.9085208394395901,1.6190476190476188
exploration,move_near,9,7,0.37775976571537223,0.3146083118120015,0.2717518807217075,0.013298811214815048,-0.0006633500950451553,-0.04302564615813765,0.04519713033780176,0.8524061147252378,2.8095238095238098
