state_id,task,seed,split,layer,top_alignment,bottom_alignment,wrong_prompt_alignment,random_alignment,top_strength_ratio,top_minus_random,top_minus_bottom,top_minus_wrong_prompt,causal_margin
google_robot_move_near__seed000__step008,move_near,0,validation,0,0.4522247957127605,-0.11658357951025296,0.4522247957127605,0.1915574382537064,1.3154823548977514,0.26066735745905406,0.5688083752230134,0.0,0.0
google_robot_move_near__seed000__step008,move_near,0,validation,1,0.3931549709660323,-0.18109913971085087,0.3931549709660323,0.1915574382537064,1.418539592226309,0.2015975327123259,0.5742541106768831,0.0,0.0
google_robot_move_near__seed000__step008,move_near,0,validation,2,0.42111702170127346,-0.1945674974608397,0.4275034820191381,0.1915574382537064,1.0008088964596973,0.22955958344756705,0.6156845191621132,-0.006386460317864662,-0.006386460317864662
google_robot_move_near__seed000__step008,move_near,0,validation,3,0.4013525639201771,-0.1611655450421661,0.38499792711059744,0.1915574382537064,1.1670709117697788,0.20979512566647068,0.5625181089623432,0.01635463680957966,0.01635463680957966
google_robot_move_near__seed000__step008,move_near,0,validation,4,0.5151910140584562,0.12406379153247703,0.5113588262951492,0.1915574382537064,1.3256054667673962,0.32363357580474983,0.3911272225259792,0.003832187763307071,0.003832187763307071
google_robot_move_near__seed000__step008,move_near,0,validation,5,0.38499761963668994,-0.16750156268115915,0.382049823894777,0.1915574382537064,1.1924515543468002,0.19344018138298352,0.5524991823178491,0.002947795741912951,0.002947795741912951
google_robot_move_near__seed000__step008,move_near,0,validation,6,0.43096766030976336,-0.13980081830818716,0.3992037942701839,0.1915574382537064,1.0887097073104415,0.23941022205605694,0.5707684786179505,0.03176386603957948,0.03176386603957948
google_robot_move_near__seed000__step008,move_near,0,validation,7,0.2852853992594482,0.21050215327046293,0.2852853992594482,0.1915574382537064,0.938793822294494,0.09372796100574177,0.07478324598898525,0.0,0.0
google_robot_move_near__seed000__step008,move_near,0,validation,8,0.36868211280438307,-0.06678082815575236,0.3643199893922133,0.1915574382537064,0.8623421197091267,0.17712467455067665,0.43546294096013544,0.004362123412169794,0.004362123412169794
google_robot_move_near__seed000__step008,move_near,0,validation,9,0.24410320192024357,0.01709524978320189,0.28767225923007694,0.1915574382537064,0.8386707150967365,0.052545763666537154,0.22700795213704167,-0.043569057309833376,-0.043569057309833376
google_robot_move_near__seed000__step008,move_near,0,validation,10,0.40403690849303847,-0.12332743870728309,0.5371667725734431,0.1915574382537064,0.9259198711799882,0.21247947023933206,0.5273643472003215,-0.13312986408040467,-0.13312986408040467
google_robot_move_near__seed000__step008,move_near,0,validation,11,0.6229500637596898,-0.030984496151326604,0.6309896827194238,0.1915574382537064,1.7398281385247742,0.43139262550598334,0.6539345599110163,-0.00803961895973404,-0.00803961895973404
